STT,MÃ VẬT TƯ,TÊN VẬT TƯ,ĐVT,DANH MỤC
1,VT0001,Bạc đạn 6203 thường,cái,Vòng bi - Bạc đạn
2,VT0002,Bạc đạn 6202 thường,cái,Vòng bi - Bạc đạn
3,VT0003,Bạc đạn 6203 Koyo( Quạt đỏ),cái,Vòng bi - Bạc đạn
4,VT0004,Bạc đạn 6204 thường (xe rùa),cái,Vòng bi - Bạc đạn
5,VT0005,Bạc đạn 6205 Koyo,cái,Vòng bi - Bạc đạn
6,VT0006,Bạc đạn 6307 Koyo,cái,Vòng bi - Bạc đạn
7,VT0007,Bạc đạn 6301 thường,cái,Vòng bi - Bạc đạn
8,VT0008,Bạc đạn 6303 thường,cái,Vòng bi - Bạc đạn
9,VT0009,Bạc đạn 6311 Koyo( cối đập bắp cũ),cái,Vòng bi - Bạc đạn
10,VT0010,Bạc đạn F209,cái,Vòng bi - Bạc đạn
11,VT0011,Bạc đạn FL208,cái,Vòng bi - Bạc đạn
12,VT0012,Bạc đạn NSK DAC30600037309(quạt trắng),cái,Vòng bi - Bạc đạn
13,VT0013,Bạc đạn UC212,cái,Vòng bi - Bạc đạn
14,VT0014,Bạc đạn UC213,cái,Vòng bi - Bạc đạn
15,VT0015,Bạc đạn UCF205( máy đóng bao),cái,Vòng bi - Bạc đạn
16,VT0016,Bạc đạn UCF206( máy đống bao),cái,Vòng bi - Bạc đạn
17,VT0017,Bạc đạn UCF208,cái,Vòng bi - Bạc đạn
18,VT0018,Bạc đạn UCFL 209(cào phân),cái,Vòng bi - Bạc đạn
19,VT0019,Bạc đạn UCFL206(băng tải cào phân khu 5),cái,Vòng bi - Bạc đạn
20,VT0020,Bạc đạn UCP206( cối đập bắp mới),cái,Vòng bi - Bạc đạn
21,VT0021,Bạc đạn UCP208,cái,Vòng bi - Bạc đạn
22,VT0022,Bạc đạn UCP209(băng tải),cái,Vòng bi - Bạc đạn
23,VT0023,Bạc đạn UCP212( con lăn cối đập bắp mới),cái,Vòng bi - Bạc đạn
24,VT0024,Bản lề lá,cái,Kim khí - Bulong - Ốc vít
25,VT0025,Băng keo điện đen,cuộn,Dầu mỡ - Hóa chất - Sơn
